source,review_description,rating,review_date,predicted_sentiment
App Store,Good app,5,2023-07-12 05:47:21,Positive
Google Play,after downloading this app your messenger can experience error sending pictures and also instagram,2,2023-07-07 12:01:18,Negative
Google Play,Awesome option this is. Everyone like it. Just awesome. And thank you for this option or App 🤗,1,2023-07-06 05:35:11,Positive
Google Play,Good thing that Facebook and Instagram were mixed like Twitter,5,2023-07-09 00:16:04,Negative
Google Play,"Its not stable,its double of everything😭😭😭",1,2023-07-07 07:58:34,Negative
Google Play,This app is a joke and stands nowhere near twitter. It looks like a microblogging version of instagram which I hate. I'd better stick with twitter.,1,2023-07-09 09:07:34,Negative
Google Play,Nothing but a cheap copy of Twitter...,1,2023-07-08 08:04:57,Negative
Google Play,"Bad experience!!! App saying ""Thread keep stopping"" Pls provide me email id so that i can send screenshot",1,2023-07-07 00:19:10,Positive
Google Play,Sasta Twitter but acha Twitter🗿,4,2023-07-07 02:28:26,Negative
Google Play,Batter than Twitter,5,2023-07-06 04:32:38,Positive
Google Play,Very satisfied with this program. Add an edit post option and daily story .,5,2023-07-08 03:22:38,Neutral
Google Play,Is it good ? 🤥,5,2023-07-07 08:52:17,Positive
Google Play,Good application,5,2023-07-07 19:02:21,Positive
Google Play,Twitter copy and pasted. Don't need another app. I am fine with Twitter.,1,2023-07-08 19:58:41,Negative
Google Play,It is lagging and glitching too much ... I am not able to use it.. So frustrating,1,2023-07-10 03:23:12,Negative
App Store,"Ever since I downloaded threads, both my Instagram & threads app keep logging me out and I have to log back in. I noticed this would happen when I would try to use 3rd party apps to analyze my stats but now it’s happening multiple times a day and I’m not even using those apps, it’s literally just me using Threads. Please advise",2,2023-07-07 20:41:25,Negative
App Store,"No chronological feed, a feed that shows you a bunch of random garbage and not things that you follow. Hard pass",1,2023-07-07 16:40:42,Negative
Google Play,So far very good experience.,4,2023-07-06 10:32:26,Positive
Google Play,The app keeps glitching. I literally cannot even scroll,1,2023-07-07 12:08:53,Negative
Google Play,Very bad,1,2023-07-06 19:24:46,Negative
Google Play,This app needs more development from its features,4,2023-07-06 16:48:18,Positive
Google Play,Guigh,5,2023-07-23 14:04:51,Negative
Google Play,Refreshing,4,2023-07-06 09:18:05,Negative
Google Play,Its not useful to spend time better one is twiter👍,1,2023-07-13 08:18:25,Positive
Google Play,"I see the HUGE potential in this App. Possible areas of improvement: 1. Hashtags? Easier to follow stuff. 2. Sync to Insta account. What I mean is that if I want to post something on Insta, it can automatically post the same thing on Threads (like the insta/Facebook sync) 3. Desktop version. I post some of my insta things from my laptop. PLEASE do the same for Threads. ""Moving to Threads cause Twitter is dead.""",4,2023-07-06 22:36:33,Negative
Google Play,Quite new app. Have some issues but overall amazing. I'm giving 3 for now. But I'm sure in future they will improve the features so we will give 5 stars.,3,2023-07-22 11:01:28,Positive
App Store,"I can't believe the company behind Meta Quest is making a better app than Musk's Twitter, and it's less toxic than Twitter

Am I dreaming? Is this heaven?",5,2023-07-12 14:56:46,Positive
Google Play,"Crashes every time I try and leave a comment, so frustrating to use",1,2023-07-13 13:45:55,Negative
App Store,"It’s awesome to see an app like Threads growing from the very beginning. It still needs some key features that we are used to at this point, but it feels welcoming and user friendly.",5,2023-07-06 05:12:18,Positive
Google Play,"Well, for a new app it's good. Just a few updates and it'll be an awesome alternative to Twitter.",4,2023-07-06 10:42:25,Positive
Google Play,Everything is breaking. I am not able to use it.,1,2023-07-07 09:41:57,Positive
Google Play,First thing .... I lovveeee it,5,2023-07-06 00:24:20,Negative
App Store,It should allow users to delete the account.,2,2023-07-06 07:19:07,Negative
Google Play,I love this app but the fact is that it can't message u only repost or rethread to interact 😭😭🥱 let there be message box like Instagram,4,2023-07-07 20:02:04,Positive
Google Play,Videos are not taking full width,4,2023-07-06 16:54:01,Negative
Google Play,"Very poor. My feed is full of rubbish, not from the people I follow. I can't even turn the dross off in the settings. No chance of replacing Twitter in this state 🥱",1,2023-07-09 18:28:04,Negative
Google Play,I have had to report a system failure three separate times and I haven't received any response. I have also noticed that comments on my threads have been reported but I'm not the one that has reported them. Either I've already been hacked (it's only been about a week) or there's a lot of glitches that need to be fixed but either way I'm really frustrated with the fact that nobody has gotten back to me or even attempted to fix my problem.,2,2023-07-18 20:31:18,Negative
Google Play,"Can't search anything that i want to see just getting random posts of random blue tick people on my home page, give me what i want to see not what you want to show me. And every next post is about twitter vs threads looks like this app was not made for entertainment it was made to war with twitter",1,2023-07-08 07:54:43,Negative
Google Play,"Good, Hopefully it will be better than twitter but hashtag system should be included",5,2023-07-06 19:38:40,Positive
Google Play,Helping families shop & buy from the factory store.,5,2023-07-09 18:20:42,Negative
Google Play,New challenge to market your business. This will show your business to the 🌎,5,2023-07-06 00:20:23,Positive
Google Play,Good experience ☺️,5,2023-07-07 03:35:10,Positive
Google Play,"Please add ""confirm all"" button for follower request. Thanks",4,2023-07-07 06:01:59,Positive
Google Play,"Good first draft. It runs smooth and I am sure they will be adding functionality. I don't think they expected so many downloads right away but yet it doesn't crash. They seem to have only rolled out what has been well tested. Also, it's not filled with weird vaguely eugenicist posts by the billionaire owner, so that is cool.",5,2023-07-10 04:31:16,Positive
Google Play,Not Bad,3,2023-07-17 12:39:28,Negative
App Store,"The app doesn't even work. Every time I go to make a post it kicks me out. Same as when I comment. When I open my app I see the posts from people I follow but as soon as I refresh I see posts from people I don't follow. You should make sure the app works before you release it but hey I'm not an app developer, I don't know how it work.",3,2023-07-09 05:08:04,Negative
Google Play,It's a nice app,5,2023-07-06 08:00:16,Positive
Google Play,Very bad experience when I was login this thread it was not loginingmy email id,1,2023-07-12 12:55:17,Negative
App Store,Thank you for listening to the users. It was fraustrating to use the app while it constantly kept crashing whenever I tried to post or comment.,4,2023-07-13 13:09:22,Negative
Google Play,Good app,5,2023-07-21 15:39:34,Positive
Google Play,No trending option in threads,1,2023-07-06 10:20:50,Positive
Google Play,Almost identical to but even worse than Instagram if that's possible. Still can't comment pics. Who developes a social media app without pictures? A fkn lizard! That's who!,1,2023-07-19 01:10:55,Negative
Google Play,Nice App....!!,2,2023-07-06 18:28:35,Positive
Google Play,Basically twitter,3,2023-07-06 00:53:18,Positive
Google Play,Elon Musk chora,5,2023-07-05 23:45:52,Positive
Google Play,Needs content search and #️⃣ support,4,2023-07-06 01:41:53,Negative
Google Play,"alternative for twitter thats it their is no much new feature to attract the audience infact twitter is the best to develop you , this theards meant for time pass conversations",1,2023-07-06 01:58:30,Positive
Google Play,"If we could get trends, and video shouldn't play by it self then I'm ok.",4,2023-07-07 05:58:48,Neutral
Google Play,"Everything been going on well since day one till yesterday it stated telling me that, they restrictly certain activity to protect the community and it says I try again later,what could be the reason please help me( my handle is Sun bae -256.",2,2023-07-12 18:33:28,Positive
App Store,Twitter can go eat a d*** so here’s to hoping this works 🤞🤞🤞,5,2023-07-07 18:39:19,Negative
Google Play,"I'm not able to download this app , and idk why it's happening, please help me out !!",1,2023-07-07 07:01:15,Negative
Google Play,Requires Instagram account. A new creepy way for Zuck and crew to harvest/sell your data.,1,2023-07-06 20:18:05,Negative
Google Play,Very good app,5,2023-07-07 04:09:27,Positive
Google Play,Definitely better than Twitter 😀,5,2023-07-08 02:57:14,Positive
Google Play,Add a function to migrate instagram followers to Threads!!,3,2023-07-06 03:01:07,Negative
Google Play,Twitter copy,4,2023-07-07 17:59:28,Negative
Google Play,Copied.,1,2023-07-24 17:46:55,Negative
Google Play,Crashes on startup!,1,2023-07-06 20:08:42,Neutral
Google Play,Twitter vs thread,5,2023-07-07 19:34:13,Positive
Google Play,Collects way too much data,1,2023-07-10 10:00:01,Negative
Google Play,This will distroy Twitter.,5,2023-07-06 20:36:40,Positive
App Store,My battery life on my iPhone after installing this app has reduced a lot. Looking at all the things this apps request for permission is ridiculous also. We really should demand more from Facebook especially when this single app will cause your battery to drain faster. Uninstalled because of battery drain issues!,1,2023-07-11 01:03:13,Negative
Google Play,Great app very good app,5,2023-07-22 16:17:25,Positive
Google Play,"This is cool, could we save photos to gallery tho 🙇‍♀️🙇‍♀️",4,2023-07-06 01:41:34,Positive
Google Play,Great,5,2023-07-18 08:13:22,Positive
Google Play,Very trash app twitter is 1000X better get free speech then we can talk,1,2023-07-09 20:59:42,Negative
Google Play,"Yes, because, the blots on humanity Twitter, Facebook, IG, TIkTok weren't enough. We were clearly in need of another nuisance of a text based social app, from a cancer of company called Meta.",1,2023-07-22 06:24:49,Negative
Google Play,3rd class threads app...... Twitter best,1,2023-07-08 19:19:33,Positive
Google Play,Just love threads @,5,2023-07-07 06:29:54,Positive
Google Play,Amateurish copycats,1,2023-07-14 07:01:29,Negative
Google Play,"Update: i tried to reinstall the app to find that they changed the system and prevent us from sign up with email and that we have to use the Instagram account !!! If i want to make account aside from insta why forceing me to not to do it ? I tried to sign up but in the last step when you have to agree to the policy i tap agree but my process end their, everything was good till this step , agree just start reload than nothing happened and than tap again and the same",1,2023-07-06 13:09:21,Positive
Google Play,The only issue I have is there's no follows tab so the feed is cluttered I don't want me feed full of celebrities I don't care about,4,2023-07-06 17:22:23,Negative
Google Play,Indo first komen coyy,5,2023-07-06 07:03:29,Negative
Google Play,The app is taking too much time to get installed. Loosing the hype somewhere,3,2023-07-08 06:11:00,Negative
Google Play,So far so good the app has been fun and great but now it keeps on crashing and my phone reports it has a bug,2,2023-07-07 11:14:33,Neutral
Google Play,"It's literally Twitter, but from Meta. So you already know your data is not safe and there is no free speech.",1,2023-07-19 04:29:59,Negative
Google Play,Interesting interface,5,2023-07-06 11:04:53,Negative
Google Play,UI looks interesting. Missing #trends option.,5,2023-07-06 11:02:59,Positive
App Store,As predicted. This app is full of censorship and it lacks freedom of speech. Now that I have signed up using my Instagram account I can’t delete my account without deleting my Instagram account therefore deleting all my pictures and comments and then the app will do for now.,1,2023-07-09 14:52:58,Negative
Google Play,"Chronological, please!",4,2023-07-06 02:52:51,Negative
Google Play,Trash Trash Trash!!! Let us delete this app! Holding us hostage by linking it to our Instagram page.,1,2023-07-11 10:14:48,Negative
Google Play,dis app is good but for those that have old phone versions should be considered. try making this app for all phone users whether old or new then i will give a 5 star review,1,2023-07-08 01:05:59,Negative
Google Play,The app is great but it keep stopping everytime I attach a picture to the thread.,3,2023-07-10 19:45:38,Negative
Google Play,Where are the notifications? The app doesn't have ability to notify you when an account publishes a new thread. Pretty good and fun app otherwise,4,2023-07-18 22:47:53,Positive
Google Play,"Bland app design, nothing new to do with the app. Ctrl c, Ctrl v for no reason at all.",1,2023-07-13 22:53:28,Negative
Google Play,"I'm open app it's shake, i can't roll up and down",1,2023-07-06 06:47:38,Negative
Google Play,Good morning,5,2023-07-06 13:30:25,Positive
Google Play,"This is an app that doesn't allow you to delete its account without deleting the IG account. Boring as hell. It's Just a clone of Twitter. However, Twitter is much better, i believe. Wish I could give '0' star!!! Happily deactivated and uninstalled it forever...",1,2023-07-08 07:46:17,Negative
Google Play,Cool,5,2023-07-06 01:24:48,Positive
Google Play,"4stars because I can't save images. Otherwise, great app",4,2023-07-06 11:51:48,Positive
Google Play,This is basically Twitter with Instagram theme. The set up was too smooth. Edit: I will suggest that trending topics should be visible when users click on the search section,5,2023-07-06 13:29:24,Positive
Google Play,Perfect,5,2023-07-09 18:02:04,Negative
Google Play,"Very poor experience. Very chaotic timeline, sosososo worse than twitter 0.5 out of 10",1,2023-07-06 03:58:30,Negative
Google Play,Poorly launched,1,2023-07-22 08:45:56,Negative
Google Play,Downloaded it yesterday. New app. Good experience.,4,2023-07-06 20:37:44,Positive
Google Play,Very great app its much cleaner than insta in terms of design,5,2023-07-06 18:53:08,Positive
Google Play,Osm quality but hashtag options not showing..,4,2023-07-08 11:42:31,Negative
Google Play,I am first user Threads app. My reviews are only public .,5,2023-07-06 01:37:52,Positive
App Store,"app is brand new and exciting, but leaves some MUCH desired & essential features such as:

a follow back button
2 separate following & “explore” feeds 
able to search posts, in addition to users",2,2023-07-06 20:46:24,Neutral
Google Play,Love it...,5,2023-07-07 03:12:47,Positive
Google Play,"I downloaded the application and logged in, but it does not work when using it, strange things occur on the screen",1,2023-07-07 13:59:50,Negative
App Store,It will automatically exit the program,3,2023-07-24 14:31:51,Negative
Google Play,Great alternative to Twitter,5,2023-07-06 01:10:10,Positive
Google Play,"So far, so good. It's still in the early stages, and more features are being created as it's used, but so far, the experience has been great, and the community is supportive, positive, and helpful. There seems to be a concerted effort on the new users to block disinformation, hate speech, racism, and focus on sharing facts and real news.",5,2023-07-24 11:14:06,Positive
Google Play,Very Bad and Boring 😂,1,2023-07-09 21:29:31,Negative
Google Play,Trend micro mobile security unsafe app find,1,2023-07-24 11:09:39,Positive
