source,review_description,sentiment,processed_text
Google Play,"Na, too like Twitter but owned by Meta. I'll take Twitter 2.0 over Threads any day. No censorship which is all Meta/Facebook does...",Negative,na like twitter own meta ill take twitter thread day censorship metafacebook
App Store,Facebook making new apps when all we want to know is when Zuck is gonna fight Elon,Neutral,facebook mak new app want know zuck gonna fight elon
Google Play,Works seamlessly for me with no errors. Quick easy access to the functions I use most often.,Positive,work seamlessly error quick easy access function use often
Google Play,It's really a great apk,Positive,really great apk
Google Play,Loving it so far,Positive,lov far
Google Play,Best opportunity by Instagram,Positive,best opportunity instagram
Google Play,Good start but still needs so many features like Twitter if meta really wants to succeed.,Neutral,good start still need many feature like twitter meta really want succe
Google Play,"Very vest of time application, worst experience, copy of Twitter, threads is a Twitter little brother, I deleted threads and all so Instagram, and Instagram like a tik tok 2.0 version, and really rate of both app 100/-1 they are deserving this rate.",Negative,vest time application worst experience copy twitter thread twitter little brother delet thread instagram instagram like tik tok version really rate app deserv rate
App Store,"Whatever anyone says this app is the best thing to come out right now ever since musk took over twitter. Threads is basically like a big group chat and we’re all like a family
on there. Nobodies being weird or saying out of pocket things everyone is actually nice to each other, unlike the other app. Zuck you really stepped up and made one of the best apps out there. And everyone is already addicted, keep it up!",Positive,whatever anyone say app best th come right ever since musk took twitter thread basically like big group chat like family nobodie weird say pocket thing everyone actually nice unlike app zuck really stepp made one best app everyone already addict keep
App Store,not even a completed app,Negative,even complet app
Google Play,"I want to know one thing that Instagram still underdevelopment, cannot serve ads and start payment for users alike YouTube, and developing new app... First develope Insta fully, so users can earn on insta and value of insta should go up ... People making reels to earn as they are earning from youtube.",Neutral,want know one th instagram still underdevelopment cannot serve ad start payment user alike youtube develop new app first develope insta fully user earn insta value insta go people mak reel earn earn youtube
Google Play,"Great App! Reminds me of the early days of another app. ;) If you're looking for something new, it's the place to go. Love the Clean/Minimal UI. Looking forward to the future of the App.",Positive,great app remind early day another app youre look someth new place go love cleanminimal ui look forward future app
App Store,"Overall I think the app is pretty good for it being just released but as of now the only thing i can think  of that would make it a lot better for me personally is a section for threads you don’t want to post yet or just want to keep to yourself— essentially drafts. There have been many threads i have wanted to draft just to keep them for myself but can’t because the app simply doesn’t have that feature as of now, but i hope that as the app develops and updates more that we will have it in the future along with many other things",Positive,overall think app pretty good releas th think would make lot better personally section thread dont want post yet want keep essentially draft many thread want draft keep cant app simply doesnt feature hope app develop update future along many thing
Google Play,"It doesn't matter who you follow, everyone's posts go on your wall and you have to physically block the 100 million you don't want to see one at a time. They Zuckered it up real good. 1 billion ads.",Negative,doesnt matter follow everyone post go wall physically block million dont want see one time zucker real good billion ad
Google Play,"Clean and Nice UI . I like it so far , but there are some points need to be fixed . 1- i follow Arabic and English content in my account, but the alignment is bad , if put the app language is English, the Arabic content will be a chaos and vice versa . 2- waiting for the follow and hashtags features, I'm ready to give it 5 stars after these points fixed .",Neutral,clean nice ui like far point ne fix follow arabic english content account alignment bad put app language english arabic content chao vice versa wait follow hashtag feature im ready give star point fix
Google Play,Nice app for experience some new like knowledge and fun etc,Positive,nice app experience new like knowledge fun etc
App Store,"I am hoping this app will replace Twitter eventually but some features should be added like translation, GIF’s etc keep working on it it’s promising but so far it feel like another version of ig but not as streamlined.",Neutral,hop app replace twitter eventually feature add like translation gif etc keep work promis far feel like another version ig streamlin
Google Play,My app crashes when I try to post pictures,Neutral,app crashe try post picture
Google Play,Interesting🧐,Positive,interest
App Store,Otherwise it’ll be just as toxic as twitter,Positive,otherwise itll toxic twitter
Google Play,"Recently using it and there's an error in this app. I am reloading the screen for the nth times and the only thing it says is ""something went wrong""",Neutral,recently us there error app reload screen nth time th say someth went wrong
Google Play,This new app is so great to comunicate with others.,Positive,new app great comunicate other
Google Play,NOT BAD ALL THE FEATURES AVLIAVLE 💓💓,Positive,bad feature avliavle
Google Play,This app very good but so give me blue tick ❤️❤️ Farhad khan,Positive,app good give blue tick farhad khan
Google Play,"umm, am i the only one who's experiencing a force close bug when trying to click on repost notifications? it's happened all the time smh.",Neutral,umm one who experienc force close bug try click repost notification happen time smh
Google Play,Im in already love with this app ❣️,Positive,im already love app
Google Play,Not tried it yet but i think it needs a 5 star rating,Positive,tri yet think need star rat
App Store,"I like it but there are basic features missing (photo edits in thread, hashtags) and how about a user guide? We know not everyone has it but after the c r a p from twatter, let's make threads happen.",Positive,like basic feature miss photo edit thread hashtag user guide know everyone c r p twatter let make thread happen
Google Play,Boring,Negative,bor
Google Play,Great 👍,Positive,great
Google Play,Great app,Positive,great app
App Store,Can't explain why but it feels like Facebook. And it's sooooo connected to your IG that you don't really feel free to say anything. Also no +18 makes this a big nono,Negative,cant explain feel like facebook sooooo connect ig dont really feel free say anyth also make big nono
Google Play,Installed / Got bored / Uninstalled.,Negative,install got bor uninstall
Google Play,Lets see how many followers I'm gonna get from here my user @arh4mm,Positive,let see many follower im gonna get user arhmm
App Store,5 stars after this is implemented,Neutral,star implement
Google Play,I downloaded the app but it wont work smoothly on my phone and my andriod is version 9 which means it compatible for it. But any time i want to scroll through the feed the writeup get clumsy together and the text and images start shaking...how can i rectify this problem?,Negative,download app wont work smoothly phone andriod version mean compatible time want scroll fe writeup get clumsy together text image start shakinghow rectify problem
Google Play,The algorithm is not that great yet. Why am I seeing threads from celebs that I don't necessarily follow? It was nice for a while then poof random celeb threads appeared and I simply hated it. I wish there was a way to only see threads from people you follow.,Neutral,algorithm great yet see thread celeb dont necessarily follow nice poof random celeb thread appear simply hat wish way see thread people follow
Google Play,"Very nice app,who will beat twetter",Positive,nice appwho beat twetter
Google Play,Because Elon musk crying 😂,Negative,elon musk cry
Google Play,Better than Twitter 🐦,Positive,better twitter
Google Play,App not working properly... Screen getting fluctuations and blurred. Kindly fix it.,Negative,app work properly screen gett fluctuation blurr kindly fix
Google Play,I am using this app. I think it's quite good . Mark Zuckerberg well done..👍👍,Positive,us app think quite good mark zuckerberg well done
Google Play,It still lacks lots of features but there's hope for the future. I appreciate the competition it brings to the table.,Neutral,still lack lot feature there hope future appreciate competition bring table
Google Play,it's glitching,Negative,glitch
Google Play,Nice app with features you would expect for a first release. However it does crash to the homescreen after doing actions in the app sometimes,Neutral,nice app feature would expect first release however crash homescreen action app sometime
Google Play,An ugly copy of twitter.,Negative,ugly copy twitter
Google Play,Great 👍,Positive,great
Google Play,Great app but add an option to create account without Instagram. I like threads but I hate using Instagram.,Negative,great app add option create account without instagram like thread hate us instagram
Google Play,"A general flexible and nice app, missing some features but if it's one thing I know about mark Zuckerberg he always brings the updates",Positive,general flexible nice app miss feature one th know mark zuckerberg alway bring update
Google Play,Good👍. But not necessary to use,Positive,good necessary use
Google Play,Better than Twitter.,Positive,better twitter
Google Play,Idk y dis app can't deactivate account permanently. Twitter and threads. Wats going on?!,Negative,idk y di app cant deactivate account permanently twitter thread wat go
Google Play,This is a quick suggestion! While uploading files their is no option to navigate to sub directories... You only have an option to upload via gallery as a whole... I mean only all the media from the phone is visible.. No navigation option for subdirectory is available... Please incorporate the change.,Neutral,quick suggestion upload file option navigate sub directorie option upload via gallery whole mean media phone visible navigation option subdirectory available please incorporate change
Google Play,"Clean off the jump. As a less than average Twitter user, I can see the appeal right away here. Will update review as necessary.",Positive,clean jump less average twitter user see appeal right away update review necessary
Google Play,copy twitter +paste = threads,Negative,copy twitter paste thread
Google Play,Giving a strong competition to Twitter. Loving this app.❤️❤️,Positive,giv strong competition twitter lov app
Google Play,Why this app is not on huawei APP Gallery? I badly want this app 😔,Positive,app huawei app gallery badly want app
Google Play,"I like that it doesn't show like count but number of replies. Social Media is about community, not popularity. Good job Instagram and Meta!",Positive,like doesnt show like count number replie social media community popularity good job instagram meta
Google Play,Hate it.,Negative,hate
Google Play,Great,Positive,great
Google Play,So far its bad but its new app so we gotta wait until its better,Neutral,far bad new app gotta wait better
Google Play,Sasta Twitter 🤣,Negative,sasta twitter
Google Play,Sir it's good but in my phone sir always happening crash problem sir whenever I am opening my threads app always crash happens plz 🙏 solve this problem sir as soon as possible...,Negative,sir good phone sir alway happen crash problem sir whenever open thread app alway crash happen plz solve problem sir soon possible
Google Play,The app is smooth to use can't wait for more features !,Positive,app smooth use cant wait feature
Google Play,I keep crashing while typing a thread and it's really long and now gone,Negative,keep crash typ thread really long gone
Google Play,"In android, the screen and texts are smeared",Negative,android screen text smear
Google Play,It keeps crashing the moment I open it I go back to my home screen,Negative,keep crash moment open go back home screen
App Store,"Useless, wouldn’t trust Facebook/meta/threads  with my personal data if my life depended on it.",Negative,useless wouldnt trust facebookmetathread personal data life depend
Google Play,Can't post any pictures. Why can some people post photos but I can't? Definitely reflecting my rating of this app!,Negative,cant post picture people post photo cant definitely reflect rat app
Google Play,The app keeps glitching and bug on my phone,Negative,app keep glitch bug phone
Google Play,"I installed this thread app 2 or 3 times but still it is getting fully glitched if it was pbm of my phone thn whatsApp, insta all shld have got glitched. Didn't like this app . Sorry.. But i appreciate the hard work u ppl have put to make this application.",Negative,install thread app time still gett fully glitch pbm phone thn whatsapp insta shld got glitch didnt like app sorry appreciate hard work u ppl put make application
Google Play,There is a difficulty to download the app however the network is OK in my region.,Negative,difficulty download app however network ok region
Google Play,Glitch app not working,Negative,glitch app work
Google Play,Stop showing me posts from accounts I don't follow,Negative,stop show post account dont follow
Google Play,Story Thevaych Option Dya Jara 😅🤣🙏,Positive,story thevaych option dya jara
Google Play,Good stuff,Positive,good stuff
Google Play,Just got in threads and I am super happy with it! Can't wait to do my next post!,Positive,got thread super happy cant wait next post
Google Play,"Not a perfect app,",Negative,perfect app
Google Play,"it was supposed to be a copy of twitter, but they copied it badly",Negative,suppos copy twitter copi badly
Google Play,Great design and awesome features but sometimes app isn't working prorperly and showing insta followers on threads and somehow disappearing threads posts. Need little bit fixing.,Neutral,great design awesome feature sometime app isnt work prorperly show insta follower thread somehow disappear thread post ne little bit fix
Google Play,Copy cat cant even do basic functions properly,Negative,copy cat cant even basic function properly
Google Play,Very Good App,Positive,good app
Google Play,Cool,Positive,cool
Google Play,Cool.,Positive,cool
App Store,I will stop using Twitter immediately if Threads is on web,Neutral,stop us twitter immediately thread web
Google Play,"I love this app, way fewer spam bots than most, great community. Needs a few more features and that's it.",Positive,love app way fewer spam bot great community need feature that
Google Play,"I have Android 9, and the app goes crazy once I open it. It is rendering all the screens at once, so whenever I scroll, all of it renders at once instead of rendering just one screen. Disappointed",Negative,android app goe crazy open render screen whenever scroll render instead render one screen disappoint
Google Play,Full of glitches 😞😞😞😭,Negative,full glitche
Google Play,Trash. Can't even select your username. Just another useless app from Meta.,Negative,trash cant even select username another useless app meta
Google Play,Better than Twitter,Positive,better twitter
Google Play,My experience is that I am the 1st user to rate this app . Another experience is that the app is a rivalry motivated product with a expectation to beat Twitter... Let's ride...,Positive,experience st user rate app another experience app rivalry motivat product expectation beat twitter let ride
Google Play,It's kindaa fun to use but what is it use for mark bruhhhhhu 😂,Positive,kindaa fun use use mark bruhhhhhu
Google Play,The app glitches on my phone.,Negative,app glitche phone
Google Play,This good group message photo,Positive,good group message photo
Google Play,"Needs more work, its ok but it keeps putting in unwanted posts",Neutral,need work ok keep putt unwant post
Google Play,"This app is good but i hope in the next update they add something that we can put back the ""thread badge"" on our Instagram profile, i removed the badge and realized its much easier for my friends to track my thread. Plsss add it so ppl can also decide to remove or put it back huhu",Positive,app good hope next update add someth put back thread badge instagram profile remov badge realiz much easier friend track thread plsss add ppl also decide remove put back huhu
Google Play,Not worth it,Negative,worth
Google Play,Threads is better than Twitter 🐦,Positive,thread better twitter
Google Play,It's better than twitter,Positive,better twitter
Google Play,Cool app,Positive,cool app
Google Play,Can't see any use of the apo.,Negative,cant see use apo
Google Play,Threads wow ❤️🤩,Positive,thread wow
Google Play,"Some sort of static content retention mechanism to show the last seen Thread before closing the app after a re-open would be perfect. New threads should show thumbnail of their publisher's pfp at the top, giving the user the control to go up or go down the feed.",Neutral,sort static content retention mechanism show last seen thread clos app reopen would perfect new thread show thumbnail publisher pfp top giv user control go go fe
Google Play,Very boring app,Negative,bor app
Google Play,hello my name is akbar lovely bajire bbj thank you,Neutral,hello name akbar lovely bajire bbj thank
App Store,recently installed the Threads app. Looks good. 5 stars,Positive,recently install thread app look good star
App Store,"I've done all I know to do short of reformat my device. I know I don't have the latest hardware, but it is up to date. If I try to post or comment it crashes.",Negative,ive done know short reformat device know dont latest hardware date try post comment crashe
Google Play,Twitter rip-off Enough said,Neutral,twitter ripoff enough said
Google Play,I hope it will be good,Positive,hope good
Google Play,Very glitchy first experience. While scrolling all the text leaves a trail of itsself and doesnt get refreshed. So it's hard to scroll and read.,Negative,glitchy first experience scroll text leave trail itsself doesnt get refresh hard scroll read
