source,review_description,sentiment,stemmed_text,lemma_text
Google Play,"Stability is terrible, app seems fun though. Lots of activity and getting plenty of support by users.",Neutral,stabil terribl app seem fun though lot activ get plenti support user,stability terrible app seems fun though lot activity getting plenty support user
Google Play,LOG IN WITH INSTAGRAM ACCOUNT WHY⁉️⁉️😕,Negative,log instagram account,log instagram account
Google Play,"The app keeps stopping, the replies on a post are repeated while scrolling then the app closes and it is not easy to find friend's posts and profiles",Neutral,app keep stop repli post repeat scroll app close easi find friend post profil,app keep stopping reply post repeated scrolling app close easy find friend post profile
Google Play,the meta has changed,Positive,meta chang,meta changed
Google Play,Mark bro we love you 👌,Positive,mark bro love,mark bro love
Google Play,Still need a lot of improvement can you upgrade apply a google translation/translation,Negative,still need lot improv upgrad appli googl translationtransl,still need lot improvement upgrade apply google translationtranslation
Google Play,Still learning and navigating but seriously I don't care nor want to discover random people's posts that I am not following on my page. If I wanted to I would search them up to get their posts specifically. Also can't find the posts from accounts that I do follow. Please fix this as this is one of Twitters only redeeming qualities that they have over you.,Neutral,still learn navig serious dont care want discov random peopl post follow page want would search get post specif also cant find post account follow pleas fix one twitter redeem qualiti,still learning navigating seriously dont care want discover random people post following page wanted would search get post specifically also cant find post account follow please fix one twitter redeeming quality
Google Play,"Very Great App, Much Better Than The Chaos Of Twitter!",Positive,great app much better chao twitter,great app much better chaos twitter
Google Play,So Much Bugs In The App ! nothing Superb Features Copied Everything From Twitter,Negative,much bug app noth superb featur copi everyth twitter,much bug app nothing superb feature copied everything twitter
Google Play,This is just what the world needed.,Positive,world need,world needed
Google Play,It keeps stopping while I try to post a photo,Negative,keep stop tri post photo,keep stopping try post photo
Google Play,Loving it so far. Would love an edit feature tho ❤️,Positive,love far would love edit featur tho,loving far would love edit feature tho
Google Play,Copy,Neutral,copi,copy
Google Play,Very Cool app,Positive,cool app,cool app
Google Play,Good app,Positive,good app,good app
App Store,Would appreciate to see a following only feed instead of seeing others post that i don’t follow.,Positive,would appreci see follow feed instead see other post dont follow,would appreciate see following feed instead seeing others post dont follow
Google Play,Threads app is best app this app distroy the Twitter amazing yaar so continuous the meta,Positive,thread app best app app distroy twitter amaz yaar continu meta,thread app best app app distroy twitter amazing yaar continuous meta
Google Play,Great app. Abhi agile development ho raha hai iss karan se shuruaati features bs aaye hai. Jismein kaam chal Raha hai. Baad mein advanced features bhi aayenge jaise image download aur most hated ADs.,Positive,great app abhi agil develop ho raha hai iss karan se shuruaati featur bs aay hai jismein kaam chal raha hai baad mein advanc featur bhi aayeng jais imag download aur hate ad,great app abhi agile development ho raha hai iss karan se shuruaati feature b aaye hai jismein kaam chal raha hai baad mein advanced feature bhi aayenge jaise image download aur hated ad
Google Play,Great app but no themes Only dark them and there is no data save like autoplay you can't control it to never or something I hope next update trying to fix it,Neutral,great app theme dark data save like autoplay cant control never someth hope next updat tri fix,great app theme dark data save like autoplay cant control never something hope next update trying fix
Google Play,5⭐ Service So I gave 5⭐ 🚧🚧🚧🚧🚧,Positive,servic gave,service gave
Google Play,"This is a very good social media app, in future it can compete with social media apps like Twitter.",Positive,good social media app futur compet social media app like twitter,good social medium app future compete social medium apps like twitter
Google Play,Trending section maybe.,Positive,trend section mayb,trending section maybe
App Store,…is that it’s not owned by Elon Musk.,Positive,own elon musk,owned elon musk
Google Play,Cool....,Neutral,cool,cool
Google Play,Wonderful... Just need some new features,Positive,wonder need new featur,wonderful need new feature
Google Play,"its okayy👌, but could you please add a translation button please",Positive,okayi could pleas add translat button pleas,okayy could please add translation button please
Google Play,It's looks good,Positive,look good,look good
Google Play,"The app is amazing, I really loved it but I am having issues change the mode of the app. It is only on dark mode on my device and I don't know how to change it back",Positive,app amaz realli love issu chang mode app dark mode devic dont know chang back,app amazing really loved issue change mode app dark mode device dont know change back
App Store,"Boring, most followers are just ported over from Instagram and with no hashtags or local content, it’s difficult to find a reason to use.",Negative,bore follow port instagram hashtag local content difficult find reason use,boring follower ported instagram hashtags local content difficult find reason use
Google Play,Great alternative to the chaos and hate of Twitter.,Positive,great altern chao hate twitter,great alternative chaos hate twitter
Google Play,The real reason why people are quitting Threads because it is literally boring. We have nothing to do on threads rather we prefer using Instagram.,Neutral,real reason peopl quit thread liter bore noth thread rather prefer use instagram,real reason people quitting thread literally boring nothing thread rather prefer using instagram
Google Play,"If a person removes thread badge on Instagram there should be an option to get back that badge, i mean there's no sense why not you het that back",Negative,person remov thread badg instagram option get back badg mean there sens het back,person remove thread badge instagram option get back badge mean there sense het back
Google Play,"Very poor app, don't know the actual use",Negative,poor app dont know actual use,poor app dont know actual use
App Store,"Its fine ig, its early but it seems kind of clunky so far.",Neutral,fine ig earli seem kind clunki far,fine ig early seems kind clunky far
Google Play,Very nice application,Positive,nice applic,nice application
Google Play,Nice thread,Positive,nice thread,nice thread
Google Play,"In this app, you can't control the video and the pictures. Even the data saver doesn't work. Please, there should be a ""never auto autopkay "" and also hide or reduce the pictures quality",Neutral,app cant control video pictur even data saver doesnt work pleas never auto autopkay also hide reduc pictur qualiti,app cant control video picture even data saver doesnt work please never auto autopkay also hide reduce picture quality
Google Play,"Never thought I would be installing a meta app on my phone but the fumes coming off the cesspool at the original ""internet town square"" is becoming too much.",Positive,never thought would instal meta app phone fume come cesspool origin internet town squar becom much,never thought would installing meta app phone fume coming cesspool original internet town square becoming much
Google Play,It's just ok. It definitely isn't Twitter. No hashtags and bio character length isn't as long as Twitter. Feels like a beta version.,Negative,ok definit isnt twitter hashtag bio charact length isnt long twitter feel like beta version,ok definitely isnt twitter hashtags bio character length isnt long twitter feel like beta version
Google Play,"Another heavily censored, Trans pedo loving app by the personal data selling scum that own insta and Facebook. For christ sake DO NOT use this app.",Negative,anoth heavili censor tran pedo love app person data sell scum insta facebook christ sake use app,another heavily censored trans pedo loving app personal data selling scum insta facebook christ sake use app
App Store,Will never be better than twitter,Negative,never better twitter,never better twitter
Google Play,Cheap copy of twitter 😦,Negative,cheap copi twitter,cheap copy twitter
Google Play,Wanna know about this app,Negative,wanna know app,wanna know app
Google Play,You can't just copy and paste it... Twitter will always be superior than Threads..!,Negative,cant copi past twitter alway superior thread,cant copy paste twitter always superior thread
Google Play,This is a cheap imitation of another popular app known as twitter. The interface is average.,Negative,cheap imit anoth popular app known twitter interfac averag,cheap imitation another popular app known twitter interface average
Google Play,The big failure about this app is that attached with Instagram.,Negative,big failur app attach instagram,big failure app attached instagram
Google Play,The most restrictive use app that i have ever seen in my life.,Negative,restrict use app ever seen life,restrictive use app ever seen life
App Store,Twitter without Elon? Sign me up,Positive,twitter without elon sign,twitter without elon sign
Google Play,I need to be famous on the app @max_manso,Neutral,need famou app maxmanso,need famous app maxmanso
Google Play,How will i change it to dark mode,Neutral,chang dark mode,change dark mode
Google Play,Threads > twitter 😂,Positive,thread twitter,thread twitter
App Store,Please add DMs sooner or later. I wanna be able to send my friends posts and talk to them on the threads app instead of switching back to instagram,Positive,pleas add dm sooner later wanna abl send friend post talk thread app instead switch back instagram,please add dm sooner later wanna able send friend post talk thread app instead switching back instagram
App Store,Tired of seeing random famous people I dont wanna see on my feed lol,Neutral,tire see random famou peopl dont wanna see feed lol,tired seeing random famous people dont wanna see feed lol
Google Play,Twiter tu toh gya,Positive,twiter tu toh gya,twiter tu toh gya
Google Play,Very bad,Negative,bad,bad
Google Play,Great app 😁,Positive,great app,great app
Google Play,Flexible currently. But should be improve,Positive,flexibl current improv,flexible currently improve
Google Play,"Please reduce the size of the app. Also launch a lite version of threads , please.",Neutral,pleas reduc size app also launch lite version thread pleas,please reduce size app also launch lite version thread please
Google Play,Still too much bugs,Negative,still much bug,still much bug
Google Play,So glitchy! Like a boot leg Twitter,Negative,glitchi like boot leg twitter,glitchy like boot leg twitter
Google Play,Dirty tricks,Negative,dirti trick,dirty trick
Google Play,"It's a great app, but it's crashing when I try to upload a photo. Please have a look",Neutral,great app crash tri upload photo pleas look,great app crashing try upload photo please look
Google Play,I am very said when i have a fastest internet and the thread is always loading loading and loading very disappointed,Negative,said fastest internet thread alway load load load disappoint,said fastest internet thread always loading loading loading disappointed
Google Play,For Twitter. #TeamElonMusk,Negative,twitter teamelonmusk,twitter teamelonmusk
Google Play,Boring,Neutral,bore,boring
Google Play,"Garbanzo, looks like MySpace had a bastard with Twitter. Terrible UI and nothing relevant.",Negative,garbanzo look like myspac bastard twitter terribl ui noth relev,garbanzo look like myspace bastard twitter terrible ui nothing relevant
Google Play,Mark Zuckerberg sir thank for threading application can you please and I suggest you new application similar by sanpchaat good opportunity for you ☺️,Positive,mark zuckerberg sir thank thread applic pleas suggest new applic similar sanpchaat good opportun,mark zuckerberg sir thank threading application please suggest new application similar sanpchaat good opportunity
Google Play,"Very promising so far, interested to see where it goes. Will adjust my review later when I've really gotten some good use out of it.",Positive,promis far interest see goe adjust review later ive realli gotten good use,promising far interested see go adjust review later ive really gotten good use
Google Play,"Could be promising, but it's already randomly closing out entirely. I feel like instead of developing a new app, Meta should just focus on making its current apps work like they should.",Neutral,could promis alreadi randomli close entir feel like instead develop new app meta focu make current app work like,could promising already randomly closing entirely feel like instead developing new app meta focus making current apps work like
Google Play,New app very Hot app 😍😍😍,Positive,new app hot app,new app hot app
Google Play,It's full of glitch.. can't even scroll,Negative,full glitch cant even scroll,full glitch cant even scroll
Google Play,"Why is it that when I post a video, the sound does not appear with the video?",Neutral,post video sound appear video,post video sound appear video
Google Play,"Threads has definitely grown on me, the algorithm has also gotten drastically better for me which helps a lot. It's only little problems I have with the app now. Wish there was an option to hide reposts from people I follow. Really wish we could pinch and zoom on images; and wish videos would unmute when opened. Otherwise, this is a tremendous first release. It seems to accomplish the goal of Twitter's For You page well and in a way that is enjoyable to use.",Positive,thread definit grown algorithm also gotten drastic better help lot littl problem app wish option hide repost peopl follow realli wish could pinch zoom imag wish video would unmut open otherwis tremend first releas seem accomplish goal twitter page well way enjoy use,thread definitely grown algorithm also gotten drastically better help lot little problem app wish option hide reposts people follow really wish could pinch zoom image wish video would unmute opened otherwise tremendous first release seems accomplish goal twitter page well way enjoyable use
App Store,I havent installed yet but im giving one star in advance,Negative,havent instal yet im give one star advanc,havent installed yet im giving one star advance
Google Play,Get something of your own mark,Negative,get someth mark,get something mark
Google Play,Good one,Positive,good one,good one
Google Play,Some bugs in this application please solve all problems...,Negative,bug applic pleas solv problem,bug application please solve problem
Google Play,"I m getting problm in downloading the app. The app not able to get installed , it have some bugs . Please review it.",Negative,get problm download app app abl get instal bug pleas review,getting problm downloading app app able get installed bug please review
Google Play,Lot of bugs in this application.,Negative,lot bug applic,lot bug application
Google Play,Great app!,Positive,great app,great app
Google Play,Very nice. Thanks to meta. I am a big fan of Mark Zuckerberg 🫡🫡. You are my boss.,Positive,nice thank meta big fan mark zuckerberg boss,nice thanks meta big fan mark zuckerberg bos
Google Play,"Requires an Instagram account, I don't want 2 apps just to use 1. Uninstall.",Neutral,requir instagram account dont want app use uninstal,requires instagram account dont want apps use uninstall
App Store,I dont even want to go on the app anymore because I see so much random stuff. Fix it to where I only see what my friends post.,Negative,dont even want go app anymor see much random stuff fix see friend post,dont even want go app anymore see much random stuff fix see friend post
Google Play,One of best app for future,Positive,one best app futur,one best app future
Google Play,"I cant post a picture oh threads, it force close by it self",Neutral,cant post pictur oh thread forc close self,cant post picture oh thread force close self
App Store,"Read the Terms of Service, they’re insane and make other social media platforms look harmless when it comes to spying on you.

Meta recently hired several “former” CIA and FBI to work on threads. Not a coincidence.",Negative,read term servic theyr insan make social media platform look harmless come spi meta recent hire sever former cia fbi work thread coincid,read term service theyre insane make social medium platform look harmless come spying meta recently hired several former cia fbi work thread coincidence
Google Play,I am using threads from 7 July but I didn't get any followers. Although I am posting positive content after every five hours.,Negative,use thread juli didnt get follow although post posit content everi five hour,using thread july didnt get follower although posting positive content every five hour
Google Play,"Awful App - I was inundated with posts from people I wasn't following, and there's no way to stop it, so I couldn't find posts from people I was following, so deleted it.",Negative,aw app inund post peopl wasnt follow there way stop couldnt find post peopl follow delet,awful app inundated post people wasnt following there way stop couldnt find post people following deleted
Google Play,This app is very sweet and nice. The funny part of it is that it's easy to gain followers,Positive,app sweet nice funni part easi gain follow,app sweet nice funny part easy gain follower
Google Play,This app is very good 😊😊😊 i,Positive,app good,app good
App Store,"The app loads up nice and quick, the interface is nice, and the profile set up was painless. But I can't post anything because the app just crashes every time I attempt to",Negative,app load nice quick interfac nice profil set painless cant post anyth app crash everi time attempt,app load nice quick interface nice profile set painless cant post anything app crash every time attempt
Google Play,I am person who end 2M and start 2.1,Positive,person end start,person end start
Google Play,"For some reason, I cannot use this app properly. It's having a glitch throughout and it's annoying. The whole page is filled with glitches. Please do something about it.",Negative,reason cannot use app properli glitch throughout annoy whole page fill glitch pleas someth,reason cannot use app properly glitch throughout annoying whole page filled glitch please something
Google Play,Doesn't charge me to use the app. All I need,Positive,doesnt charg use app need,doesnt charge use app need
Google Play,"YOU CANT DELETE YOUR THREADS ACCOUNT UNLESS YOU DELETE YOUR INSTAGRAM also it doesn't have hastags, and its still an insta product so no nudity",Negative,cant delet thread account unless delet instagram also doesnt hastag still insta product nuditi,cant delete thread account unless delete instagram also doesnt hastags still insta product nudity
Google Play,After using this app my Instagram account stop working. Even I can't open Instagram app on my device. What should I do?,Negative,use app instagram account stop work even cant open instagram app devic,using app instagram account stop working even cant open instagram app device
Google Play,basically twitter,Neutral,basic twitter,basically twitter
Google Play,My first 2 posts haven't been uploaded for over 1hr now. What's up?,Negative,first post havent upload hr what,first post havent uploaded hr whats
Google Play,"There's only one thing left, dude. Mr. Zuck, hit us up with a DM, ya know? Saw a beautiful girl on this app, but can't seem to find no DM option.",Positive,there one thing left dude mr zuck hit us dm ya know saw beauti girl app cant seem find dm option,there one thing left dude mr zuck hit u dm ya know saw beautiful girl app cant seem find dm option
Google Play,It should be for non instagram users also.,Negative,non instagram user also,non instagram user also
Google Play,Good apps,Positive,good app,good apps
Google Play,"So far, so good. Simple and easy to use!",Positive,far good simpl easi use,far good simple easy use
Google Play,Not show view,Neutral,show view,show view
Google Play,Keeps crashing! Can't post anything.,Negative,keep crash cant post anyth,keep crashing cant post anything
App Store,verify me since I’m the first review please 🫶🏾,Positive,verifi sinc im first review pleas,verify since im first review please
Google Play,"This is a very good social media platform, it is much better than twitter, I hope that the application will continue to work well.",Positive,good social media platform much better twitter hope applic continu work well,good social medium platform much better twitter hope application continue work well
App Store,Better than twitter 👍,Positive,better twitter,better twitter
Google Play,"No more homophobic, transphobic, xenophobic CEO to ruin your day!",Positive,homophob transphob xenophob ceo ruin day,homophobic transphobic xenophobic ceo ruin day
Google Play,It is a very unique app in terms of design 🫡,Positive,uniqu app term design,unique app term design
Google Play,Very poor apps,Negative,poor app,poor apps
Google Play,Very easy to use,Positive,easi use,easy use
Google Play,Worst app,Negative,worst app,worst app
Google Play,It's a great app but boring tbh. Hoping to improve it more!!,Neutral,great app bore tbh hope improv,great app boring tbh hoping improve
Google Play,Very good app,Positive,good app,good app
Google Play,Overall I love the app. However.... I have not been able to follow new people or follow back any of my new followers for over 3 days now and I can not get anyone to help with this issue. Ive even tried to become verified but guess what can't do that either. This is very very frustrating!!!!! 3 stars because of this issue could be 5 if someone from support could help me out.** 5 days now so I'm going to start dropping the stars.,Negative,overal love app howev abl follow new peopl follow back new follow day get anyon help issu ive even tri becom verifi guess cant either frustrat star issu could someon support could help day im go start drop star,overall love app however able follow new people follow back new follower day get anyone help issue ive even tried become verified guess cant either frustrating star issue could someone support could help day im going start dropping star
Google Play,Buggy app on Android,Negative,buggi app android,buggy app android
Google Play,"The more you praise this app, the less it is because its features are amazing.",Positive,prais app less featur amaz,praise app less feature amazing
Google Play,App Doesn't work properly.. Showing some error please fix this problem,Negative,app doesnt work properli show error pleas fix problem,app doesnt work properly showing error please fix problem
Google Play,"Na, too like Twitter but owned by Meta. I'll take Twitter 2.0 over Threads any day. No censorship which is all Meta/Facebook does...",Negative,na like twitter own meta ill take twitter thread day censorship metafacebook,na like twitter owned meta ill take twitter thread day censorship metafacebook
App Store,Facebook making new apps when all we want to know is when Zuck is gonna fight Elon,Neutral,facebook make new app want know zuck gonna fight elon,facebook making new apps want know zuck gonna fight elon
Google Play,Works seamlessly for me with no errors. Quick easy access to the functions I use most often.,Positive,work seamlessli error quick easi access function use often,work seamlessly error quick easy access function use often
Google Play,It's really a great apk,Positive,realli great apk,really great apk
Google Play,Loving it so far,Positive,love far,loving far
Google Play,Best opportunity by Instagram,Positive,best opportun instagram,best opportunity instagram
Google Play,Good start but still needs so many features like Twitter if meta really wants to succeed.,Neutral,good start still need mani featur like twitter meta realli want succeed,good start still need many feature like twitter meta really want succeed
Google Play,"Very vest of time application, worst experience, copy of Twitter, threads is a Twitter little brother, I deleted threads and all so Instagram, and Instagram like a tik tok 2.0 version, and really rate of both app 100/-1 they are deserving this rate.",Negative,vest time applic worst experi copi twitter thread twitter littl brother delet thread instagram instagram like tik tok version realli rate app deserv rate,vest time application worst experience copy twitter thread twitter little brother deleted thread instagram instagram like tik tok version really rate app deserving rate
App Store,"Whatever anyone says this app is the best thing to come out right now ever since musk took over twitter. Threads is basically like a big group chat and we’re all like a family
on there. Nobodies being weird or saying out of pocket things everyone is actually nice to each other, unlike the other app. Zuck you really stepped up and made one of the best apps out there. And everyone is already addicted, keep it up!",Positive,whatev anyon say app best thing come right ever sinc musk took twitter thread basic like big group chat like famili nobodi weird say pocket thing everyon actual nice unlik app zuck realli step made one best app everyon alreadi addict keep,whatever anyone say app best thing come right ever since musk took twitter thread basically like big group chat like family nobody weird saying pocket thing everyone actually nice unlike app zuck really stepped made one best apps everyone already addicted keep
App Store,not even a completed app,Negative,even complet app,even completed app
Google Play,"I want to know one thing that Instagram still underdevelopment, cannot serve ads and start payment for users alike YouTube, and developing new app... First develope Insta fully, so users can earn on insta and value of insta should go up ... People making reels to earn as they are earning from youtube.",Neutral,want know one thing instagram still underdevelop cannot serv ad start payment user alik youtub develop new app first develop insta fulli user earn insta valu insta go peopl make reel earn earn youtub,want know one thing instagram still underdevelopment cannot serve ad start payment user alike youtube developing new app first develope insta fully user earn insta value insta go people making reel earn earning youtube
Google Play,"Great App! Reminds me of the early days of another app. ;) If you're looking for something new, it's the place to go. Love the Clean/Minimal UI. Looking forward to the future of the App.",Positive,great app remind earli day anoth app your look someth new place go love cleanminim ui look forward futur app,great app reminds early day another app youre looking something new place go love cleanminimal ui looking forward future app
App Store,"Overall I think the app is pretty good for it being just released but as of now the only thing i can think  of that would make it a lot better for me personally is a section for threads you don’t want to post yet or just want to keep to yourself— essentially drafts. There have been many threads i have wanted to draft just to keep them for myself but can’t because the app simply doesn’t have that feature as of now, but i hope that as the app develops and updates more that we will have it in the future along with many other things",Positive,overal think app pretti good releas thing think would make lot better person section thread dont want post yet want keep essenti draft mani thread want draft keep cant app simpli doesnt featur hope app develop updat futur along mani thing,overall think app pretty good released thing think would make lot better personally section thread dont want post yet want keep essentially draft many thread wanted draft keep cant app simply doesnt feature hope app develops update future along many thing
Google Play,"It doesn't matter who you follow, everyone's posts go on your wall and you have to physically block the 100 million you don't want to see one at a time. They Zuckered it up real good. 1 billion ads.",Negative,doesnt matter follow everyon post go wall physic block million dont want see one time zucker real good billion ad,doesnt matter follow everyones post go wall physically block million dont want see one time zuckered real good billion ad
Google Play,"Clean and Nice UI . I like it so far , but there are some points need to be fixed . 1- i follow Arabic and English content in my account, but the alignment is bad , if put the app language is English, the Arabic content will be a chaos and vice versa . 2- waiting for the follow and hashtags features, I'm ready to give it 5 stars after these points fixed .",Neutral,clean nice ui like far point need fix follow arab english content account align bad put app languag english arab content chao vice versa wait follow hashtag featur im readi give star point fix,clean nice ui like far point need fixed follow arabic english content account alignment bad put app language english arabic content chaos vice versa waiting follow hashtags feature im ready give star point fixed
Google Play,Nice app for experience some new like knowledge and fun etc,Positive,nice app experi new like knowledg fun etc,nice app experience new like knowledge fun etc
App Store,"I am hoping this app will replace Twitter eventually but some features should be added like translation, GIF’s etc keep working on it it’s promising but so far it feel like another version of ig but not as streamlined.",Neutral,hope app replac twitter eventu featur ad like translat gif etc keep work promis far feel like anoth version ig streamlin,hoping app replace twitter eventually feature added like translation gifs etc keep working promising far feel like another version ig streamlined
Google Play,My app crashes when I try to post pictures,Neutral,app crash tri post pictur,app crash try post picture
Google Play,Interesting🧐,Positive,interest,interesting
App Store,Otherwise it’ll be just as toxic as twitter,Positive,otherwis itll toxic twitter,otherwise itll toxic twitter
Google Play,"Recently using it and there's an error in this app. I am reloading the screen for the nth times and the only thing it says is ""something went wrong""",Neutral,recent use there error app reload screen nth time thing say someth went wrong,recently using there error app reloading screen nth time thing say something went wrong
Google Play,This new app is so great to comunicate with others.,Positive,new app great comun other,new app great comunicate others
Google Play,NOT BAD ALL THE FEATURES AVLIAVLE 💓💓,Positive,bad featur avliavl,bad feature avliavle
Google Play,This app very good but so give me blue tick ❤️❤️ Farhad khan,Positive,app good give blue tick farhad khan,app good give blue tick farhad khan
Google Play,"umm, am i the only one who's experiencing a force close bug when trying to click on repost notifications? it's happened all the time smh.",Neutral,umm one who experienc forc close bug tri click repost notif happen time smh,umm one who experiencing force close bug trying click repost notification happened time smh
Google Play,Im in already love with this app ❣️,Positive,im alreadi love app,im already love app
Google Play,Not tried it yet but i think it needs a 5 star rating,Positive,tri yet think need star rate,tried yet think need star rating
App Store,"I like it but there are basic features missing (photo edits in thread, hashtags) and how about a user guide? We know not everyone has it but after the c r a p from twatter, let's make threads happen.",Positive,like basic featur miss photo edit thread hashtag user guid know everyon c r p twatter let make thread happen,like basic feature missing photo edits thread hashtags user guide know everyone c r p twatter let make thread happen
Google Play,Boring,Negative,bore,boring
Google Play,Great 👍,Positive,great,great
Google Play,Great app,Positive,great app,great app
App Store,Can't explain why but it feels like Facebook. And it's sooooo connected to your IG that you don't really feel free to say anything. Also no +18 makes this a big nono,Negative,cant explain feel like facebook sooooo connect ig dont realli feel free say anyth also make big nono,cant explain feel like facebook sooooo connected ig dont really feel free say anything also make big nono
Google Play,Installed / Got bored / Uninstalled.,Negative,instal got bore uninstal,installed got bored uninstalled
Google Play,Lets see how many followers I'm gonna get from here my user @arh4mm,Positive,let see mani follow im gonna get user arhmm,let see many follower im gonna get user arhmm
App Store,5 stars after this is implemented,Neutral,star implement,star implemented
Google Play,I downloaded the app but it wont work smoothly on my phone and my andriod is version 9 which means it compatible for it. But any time i want to scroll through the feed the writeup get clumsy together and the text and images start shaking...how can i rectify this problem?,Negative,download app wont work smoothli phone andriod version mean compat time want scroll feed writeup get clumsi togeth text imag start shakinghow rectifi problem,downloaded app wont work smoothly phone andriod version mean compatible time want scroll feed writeup get clumsy together text image start shakinghow rectify problem
Google Play,The algorithm is not that great yet. Why am I seeing threads from celebs that I don't necessarily follow? It was nice for a while then poof random celeb threads appeared and I simply hated it. I wish there was a way to only see threads from people you follow.,Neutral,algorithm great yet see thread celeb dont necessarili follow nice poof random celeb thread appear simpli hate wish way see thread peopl follow,algorithm great yet seeing thread celebs dont necessarily follow nice poof random celeb thread appeared simply hated wish way see thread people follow
Google Play,"Very nice app,who will beat twetter",Positive,nice appwho beat twetter,nice appwho beat twetter
Google Play,Because Elon musk crying 😂,Negative,elon musk cri,elon musk cry
Google Play,Better than Twitter 🐦,Positive,better twitter,better twitter
Google Play,App not working properly... Screen getting fluctuations and blurred. Kindly fix it.,Negative,app work properli screen get fluctuat blur kindli fix,app working properly screen getting fluctuation blurred kindly fix
Google Play,I am using this app. I think it's quite good . Mark Zuckerberg well done..👍👍,Positive,use app think quit good mark zuckerberg well done,using app think quite good mark zuckerberg well done
